"Event_LegacyPollen","Event_PANGAEA","Event_Neotoma","Neotoma_DOI","Data_Source","Site_ID","Dataset_ID","Site_Name","Latitude","Longitude","Elevation","Continent","Archive_Type","Data_Type","Number_Pollen_Samples","AgeModel_Source","Number_Datings","minimum_meanAge","maximum_meanAge","mean_resolution_meanAge","range_meanAge","Site_Description","Submission_Pollendata","Publication_1","Publication_DOI_1","Publication_2","Publication_DOI_2","Publication_3","Publication_DOI_3","Publication_4","Publication_DOI_4","Publication_5","Publication_DOI_5","Publication_6","Publication_DOI_6","Publication_7","Publication_DOI_7","Publication_8","Publication_DOI_8"
"GLUPEAT","GLUPEAT","GLUPEAT","10.21233/n38h93","LegacyPollen 1.0",851,880,"Peat Exposure, Glukhoye Lake",59.75,149.9167,10,"Asia","Peat","Raw",6,"AWI",6,3527,7866,867.8,4339,"Peat exposure. Physiography: coastal lowland. Surrounding vegetation: Larix-Betula forest; graminoid meadows.",NA,"Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia.",NA,"Lozhkin, A.V., Skorodumov, I.N., Meshkov, A.P. and Rovako, L.G., 2014. Changed paleogeographic environments in the region of Glukhoye Lake (north coast of the Okhotsk Sea) during the Pleistocene-Holocene transition. Doklady Akademii Nauk, 316(1), pp.184-188 (in Russian).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOLDLKBG","GOLDLKBG","GOLDLKBG","10.21233/n35993","LegacyPollen 1.0",937,966,"Gold Lake Bog",43.65,-122.042,1465,"Western North America","Peat","Raw",24,"AWI",6,-34,10964,478.2,10998,"Sphagnum bog with trees and shrubs. Physiography: Cascade Range. Surrounding vegetation: Pseudotsuga/Tsuga mertensiana/Pinus.","1992-01-01 00:00:00","Sea, D.S. and Whitlock, C., 1995. Postglacial vegetation and climate of the Cascade Range, central Oregon. Quaternary Research, 43(3), pp.370-381.","https://doi.org/10.1006/qres.1995.1043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOLUBOY","GOLUBOY","GOLUBOY","10.21233/n39p7c","LegacyPollen 1.0",939,968,"Goluboye Lake",61.11,152.26,810,"Asia","Lake","Raw",41,"AWI",10,129,13471,333.6,13342,"Lake formed by colluvial fan blockage. Physiography: glacial terrain in broad mt. valley. Surrounding vegetation: Larix dahurica-lichen woodland.","1995-07-01 00:00:00","Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia.",NA,"Lozhkin, A.V., Anderson, P.M., Belaya, B.V., Glushkova, O.Y. and Stetsenko, T.V., 2000. Vegetation change in northeast Siberia at the Pleistocene-Holocene boundary and during the Holocene. In: The Quaternary period of Beringia ed. by K.V. Simakov (pp.53-75). North East Interdisciplinary Research Institute, Far East Branch, Russian Academy of Sciences, Magadan (in Russian).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOSHEN","GOSHEN","GOSHEN","10.21233/n3604d","LegacyPollen 1.0",940,969,"Goshen Springs",31.72111,-86.1342,105,"Eastern North America","Peat","Raw",46,"AWI",6,-57,53879,1198.6,53936,NA,"1976-11-01 00:00:00","Delcourt, P.A., Delcourt, H.R., Brister, R.C. and Lackey, L.E., 1980. Quaternary vegetation history of the Mississippi embayment. Quaternary Research, 13(1), pp.111-132.","https://doi.org/10.1016/0033-5894(80)90086-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOULD","GOULD","GOULD","10.21233/n3hh7h","LegacyPollen 1.0",941,971,"Gould Pond",44.99,-69.32,89,"Eastern North America","Lake","Raw",75,"AWI",10,-26,15525,210.1,15551,"Bedrock controlled kettle. Physiography: strongly rolling, bedrock controlled. Surrounding vegetation: white pine-northern hardwoods/spruce-fir.","1981-02-01 00:00:00","Jacobson Jr, G.L., Webb III, T. and Grimm, E.C., 1987. Patterns and rates of vegetation change during the deglaciation of eastern North America. In: North America and adjacent oceans during the last deglaciation ed. by Ruddiman, W.F. and Wright Jr, H.E. (pp.277-288). The Geology of North America K-3. Geological Society of America, Boulder, Colorado, USA.",NA,"Anderson, R.S., Jacobson Jr, G.L., Davis, R.B. and Stuckenrath, R., 1992. Gould Pond, Maine: late-glacial transitions from marine to upland environments. Boreas, 21(4), pp.359-371.","https://doi.org/10.1111/j.1502-3885.1992.tb00040.x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRAHAM","GRAHAM","GRAHAM","10.21233/n38130","LegacyPollen 1.0",943,973,"Graham Lake",45.19,-77.36,381,"Eastern North America","Lake","Raw",215,"AWI",6,-55,14182,66.5,14237,"Closed bedrock basin lake. Physiography: rough relief on Algonquin Highlands. Surrounding vegetation: Acer/Pinus/Fagus/Quercus/Tilia/Betula.",NA,"Fuller, J.L., 1995. Holocene forest dynamics in Southern Ontario, Canada. Doctoral dissertation. University of Cambridge, Cambridge, U.K.",NA,"Fuller, J.L., 1997. Holocene forest dynamics in southern Ontario, Canada: fine-resolution pollen data. Canadian Journal of Botany, 75(10), pp.1714-1727.","https://doi.org/10.1139/b97-886","Fuller, J.L., 1998. Ecological impact of the mid-Holocene hemlock decline in southern Ontario, Canada. Ecology, 79(7), pp.2337-2351.","https://doi.org/10.1890/0012-9658(1998)079[2337:EIOTMH]2.0.CO;2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRANDRAP","GRANDRAP","GRANDRAP","10.21233/n34b0q","LegacyPollen 1.0",944,974,"Grand Rapids",53,-98.25,350,"Eastern North America","Lake","Raw",25,"AWI",3,289,8462,340.5,8173,NA,"1970-04-01 00:00:00","Ritchie, J.C. and Hadden, K.A., 1975. Pollen stratigraphy of Holocene sediments from the Grand Rapids area, Manitoba, Canada. Review of Palaeobotany and Palynology, 19(3), pp.193-202.","https://doi.org/10.1016/0034-6667(75)90040-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRAS_neotoma","GRAS_neotoma","GRAS","10.21233/n38s5b","LegacyPollen 1.0",946,976,"Lac Gras",52.25,-67.0667,530,"Eastern North America","Lake","Raw",28,"AWI",5,-43,7915,294.7,7958,"Minimal relief, sandy terraces, eskers. Physiography: Lake Plateau, stream-fed. Surrounding vegetation: black spruce, lichen woodlands.","1981-07-01 00:00:00","King, G.A., 1986. Deglaciation and vegetation history of western Labrador and adjacent Quebec. Doctoral dissertation. University of Minnesota, Minneapolis, Minnesota, USA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRASVATN","GRASVATN","GRASVATN","10.21233/n3503q","LegacyPollen 1.0",947,977,"Grasvatn",63.70291,8.689085,46,"Europe","Lake","Raw",45,"AWI",8,162,12479,279.9,12317,"Shallow lake on the island of Froya. Overgrown by aquatics. Physiography: Shellsand on gneisses. Surrounding vegetation: Heather, fens and bogs.","1978-05-01 00:00:00","Moe, D., Vorren, K.D., Alm, T., Fimreite, S., Morkved, B., Nilssen, E., Paus, A., Ramfjord, H., Selvik, S.F. and Sorensen, R., 1996. Norway. In: Palaeoecological events during the last 15000 years: regional syntheses of palaeoecological studies of lakes and mires in Europe ed. by B.E. Berglund, H.J.B. Birks, M. Ralska-Jasiewiczowa, and H.E. Wright (pp.153-213). John Wiley & Sons, Chichester, United Kingdom.",NA,"Paus, A., 1982. Paleo-okologiske undersokelser pa Froya, Sor-Trondelag. Den vegetasjonshistoriske utviklingen fra senistiden og fram til idag. Master's thesis. University of Trondheim, Trondheim, Norway (in Norwegian).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRAVEL","GRAVEL","GRAVEL","10.21233/n3191t","LegacyPollen 1.0",948,978,"Gravel Ridge",55.03333,-62.6333,565,"Eastern North America","Lake","Raw",45,"AWI",9,-65,7463,171.1,7528,"Bedrock hollow. Physiography: Harp lake uplands. Surrounding vegetation: tundra/Picea.",NA,"Lamb, H.F., 1982. Late Quaternary vegetational history of the forest-tundra ecotone in North-Central Labrador. Doctoral dissertation. University of Cambridge, Cambridge, England.",NA,"Lamb, H.F., 1985. Palynological evidence for postglacial change in the position of tree limit in Labrador. Ecological Monographs, 55(2), pp.241-258.","https://doi.org/10.2307/1942559",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GREENLK","GREENLK","GREENLK","10.21233/n3bt6p","LegacyPollen 1.0",952,982,"Green Lake",44.88,-85.13,305,"Eastern North America","Lake","Raw",45,"AWI",3,380,15364,340.5,14984,NA,"1972-03-01 00:00:00","Lawrenz, R.W., 1975. The developmental paleoecology of Green Lake Antrim County, Michigan. Master's thesis. Central Michigan University, Mount Pleasant, Michigan, USA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRENADIE","GRENADIE","GRENADIE","10.21233/n3cg9p","LegacyPollen 1.0",956,986,"Grenadier Pond",43.64,-79.47,76,"Eastern North America","Lake","Raw",79,"AWI",7,-34,4511,58.3,4545,"Pond isolated by a bar from Lake Ontario.",NA,"McCarthy, F.M.G., 1986. Late Holocene water levels in Lake Ontario: evidence from Grenadier Pond. Master's thesis. University of Toronto, Toronto, Ontario, Canada.",NA,"McCarthy, F.M. and McAndrews, J.H., 1988. Water levels in Lake Ontario 4230-2000 years BP: evidence from Grenadier Pond, Toronto, Canada. Journal of Paleolimnology, 1(2), pp.99-113.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GREYIS","GREYIS","GREYIS","10.21233/n37s6d","LegacyPollen 1.0",957,987,"Grey Islands",50.76671,-55.5315,104,"Eastern North America","Lake","Raw",75,"AWI",6,-35,10940,148.3,10975,"Stream fed lake w/in exposed bedrock. Physiography: Appalachain Phys Reg, uplands. Surrounding vegetation: dwarf shrub barrens, some black spruce.","1987-07-01 00:00:00","Evans, N.S., 2002. An Investigation of the Holocene Pollen Record from the Grey Islands, Newfoundland. Master's thesis. Memorial University of Newfoundland, St. John's, Newfoundland, Canada.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GURSKII","GURSKII","GURSKII","10.21233/n3jd9j","LegacyPollen 1.0",966,997,"Gurskii Peat [Site 4381]",50.06667,137.0833,15,"Asia","Peat","Raw",31,"AWI",7,203,13840,454.6,13637,"Peat exposure in drainage channel. Physiography: river valley. Surrounding vegetation: bog shrubs and Sphagnum.","1986-08-10 00:00:00","Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia.",NA,"Korotky, A.M., 1982. Paleographic conditions of the formation of Quaternary peats (south of Far East). In: Modern sedimentation and morpholithogenesis of the Far East ed. by S.P. Pletnev and V.S. Pushkar (pp.58-71). Far Eastern Science Center, USSR Academy of Sciences, Vladivostok (in Russian).",NA,"Korotky, A.M., Kovalyukh, N.N. and Volkov, V.G., 1989. Radiocarbon dating of Quaternary deposits (south Far East). Preprint. Far East Branch of the USSR Academy of Sciences, Vladivostok (in Russian).",NA,"Sochava, V.B., 1968. The map of vegetation of the Amur Basin. Geodesy and Cartography Administration, Leningrad (in Russian).",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GYTGYKAI","GYTGYKAI","GYTGYKAI","10.21233/n3dm80","LegacyPollen 1.0",967,998,"Gytgykai Lake",63.16667,175,102,"Asia","Lake","Raw",68,"AWI",5,6306,23813,261.3,17507,"Physiography: glacial terrain in tectonic valley. Surrounding vegetation: Pinus pumila-Alnus fruticosa tundra.","1991-07-01 00:00:00","Anderson, P.M. and Lozhkin, A.V., 2002. Late Quaternary Vegetation and Climate of Siberia and the Russian Far East (Palynological and Radiocarbon Database). North East Science Center, Far East Branch, Russian Academy of Sciences, Magadan, Russia.",NA,"Lozhkin, A.V., Anderson, P.M., Brubaker, L.B., Kotov, A.N., Kotova, L.N., Prokhorova, T.P. and Simakov, K.V., 1998. The herb pollen zone from sediments of glacial lakes. In: Environmental Changes in Beringia During the Quaternary ed. by K.V. Simakov (pp.96-111). North East Interdisciplinary Research Institute, Far East Branch, Russian Academy of Sciences, Magadan (in Russian).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HACK","HACK","HACK","10.21233/n38x3z","LegacyPollen 1.0",968,999,"Hack Pond",37.98472,-78.9972,469,"Eastern North America","Lake","Raw",36,"AWI",2,-51,22173,635,22224,"Solution hollow. Surrounding vegetation: Quercus, Pinus, Carya, Castanea, Juniper.","1965-11-07 00:00:00","Stuiver, M., 1969. Yale natural radiocarbon measurements IX. Radiocarbon, 11(2), pp.545-658.","https://doi.org/10.1017/S0033822200011413","Craig, A.J., 1969. Vegetational history of the Shenandoah Valley, Virginia. Geological Society of America Special Paper, 123, pp.283-296.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HAFICHUK","HAFICHUK","HAFICHUK","10.21233/n3542q","LegacyPollen 1.0",969,1000,"Hafichuk Site",50.32056,-105.884,740,"Western North America","Lake","Raw",34,"AWI",3,11805,13476,50.6,1671,"Ephemeral prairie pothole pond. Physiography: disintegration moraine.","1962-07-01 00:00:00","de Vries, B., 1964. An investigation of a late-glacial deposit from the Missouri Coteau in Saskatchewan. Master's thesis. University of Manitoba, Winnipeg, Manitoba, Canada.",NA,"Ritchie, J.C. and Vries, B.D., 1964. Contributions to the Holocene paleoecology of westcentral Canada: a late-glacial deposit from the Missouri Coteau. Canadian Journal of Botany, 42(6), pp.677-692.","https://doi.org/10.1139/b64-063",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HAIL","HAIL","HAIL","10.21233/n31d9w","LegacyPollen 1.0",970,1001,"Hail Lake",60.03333,-129.017,690,"Western North America","Lake","Raw",84,"AWI",8,0,11809,142.3,11809,"Small lake. Surrounding vegetation: Picea mariana, P. glauca, Pinus contorta.",NA,"Cwynar, L. and Spear, R., 1995. Paleovegetation and paleoclimatic changes in the Yukon at 6 ka BP. Geographie physique et Quaternaire, 49(1), pp.29-35.","https://doi.org/10.7202/033027ar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HAMSLAKE","HAMSLAKE","HAMSLAKE","10.21233/n39k8q","LegacyPollen 1.0",971,1002,"Hams Lake",43.24,-80.41,301,"Eastern North America","Lake","Raw",85,"AWI",10,-37,12975,154.9,13012,"Kettle lake. Physiography: glacial moraine. Surrounding vegetation: beech-maple forest, near oak plains.","1984-02-01 00:00:00","Bennett, K.D., 1987. Holocene history of forest trees in southern Ontario. Canadian Journal of Botany, 65(9), pp.1792-1801.","https://doi.org/10.1139/b87-248","McAndrews, J.H. and Campbell, I.D., 1993. 6 ka mean July temperature in eastern Canada from Bartlein and Webb's (1985) pollen transfer functions: comments and illustrations. In: Proxy climate data and models of the six thousand years before present time interval: the Canadian perspective ed. by A. Telka (pp.22-25). Canadian Global Change Program Incidental Report Series IR93-3. The Royal Society of Canada, Ottawa, Ontario, Canada.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HANGING","Hanging_Lake","HANGING","10.21233/n35s6s","LegacyPollen 1.0",972,1003,"Hanging Lake",68.38333,-138.383,500,"Western North America","Lake","Raw",133,"AWI",22,-67,36782,279.2,36849,"Small lake in broad basin. Physiography: undulating tundra surface. Surrounding vegetation: tussock tundra/wet sedge/heath/fellfield.",NA,"Cwynar, L.C., 1980. A Late-Quaternary vegetation history from Hanging Lake, northern Yukon. Doctoral dissertation. University of Toronto, Toronto, Ontario, Canada.",NA,"Cwynar, L.C., 1982. A Late-Quaternary Vegetation History from Hanging Lake, Northern Yukon. Ecological Monographs, 52(1), pp.1-24.","https://doi.org/10.2307/2937342","ACER project members; Sanchez Goñi, Maria Fernanda; Desprat, Stéphanie; Daniau, Anne-Laure; Cwynar, Les C (2017): CLAM age model and pollen profile of sediment core Hanging_Lake. PANGAEA","https://doi.org/10.1594/PANGAEA.872865","Sánchez Goñi, M.F., Desprat, S., Daniau, A.L., Bassinot, F.C., Polanco-Martínez, J.M., Harrison, S.P., Allen, J.R., Anderson, R.S., Behling, H., Bonnefille, R. and Burjachs, F., 2017. The ACER pollen and charcoal database: a global resource to document vegetation and fire response to abrupt climate changes during the last glacial period. Earth System Science Data, 9(2), pp.679-695.","https://doi.org/10.5194/essd-9-679-2017","Cwynar, L.C., 1982. A Late‐Quaternary Vegetation History from Hanging Lake, Northern Yukon: Ecological Archives M052-001. Ecological Monographs, 52(1), pp.1-24.","https://doi.org/10.2307/2937342",NA,NA,NA,NA,NA,NA
"HARDING","HARDING","HARDING","10.21233/n3hf05","LegacyPollen 1.0",975,1006,"Harding Lake",64.44444,-146.908,213,"Western North America","Lake","Raw",41,"AWI",4,37,24182,603.6,24145,"Small lake. Physiography: glacial valley bottom.",NA,"Ager, T.A., 1982. Pollen studies of Quaternary-age sediments in the Tanana Valley (Alaska). In: United States Geological Survey in Alaska: Accomplishments during 1980 ed. by W. Conrad (pp.64-67). USGS Circular 844.",NA,"Ager, T.A. and Brubaker, L.B., 1985. Quaternary palynology and vegetational history of Alaska. In: Pollen records of late Quaternary North American sediments ed. by V.M. Bryant, Jr. and R.G. Holloway (pp.353-384). American Association of Stragigraphic Palynologists Foundation, Dallas, Texas, USA.",NA,"Ager, T.A., 1983. Holocene vegetational history of Alaska. In: Late-Quaternary Environments of the United States. Volume 2. The Holocene ed. by Wright Jr, H.E. (pp.128-141). University of Minnesota Press. Minneapolis, Minnesota, USA.",NA,"Nakao, K., La Perriere, J. and Ager, T.A., 1980. Climatic changes in interior Alaska. In: Climatic Changes in Interior Alaska ed. by K. Nakao (pp.16-23). Hokkaido Univesity, Department of Geophysics, Sapporo, Japan.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"HARRIE","HARRIE","HARRIE","10.21233/n37x41","LegacyPollen 1.0",977,1008,"Harrie Lake",52.93333,-66.95,530,"Eastern North America","Lake","Raw",31,"AWI",6,-8,7313,244,7321,"Fluvial origin, gently rolling terrain. Physiography: Lake Plateau. Surrounding vegetation: lichen woodland, black and white spruce.","1981-07-01 00:00:00","King, G.A., 1986. Deglaciation and vegetation history of western Labrador and adjacent Quebec. Doctoral dissertation. University of Minnesota, Minneapolis, Minnesota, USA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HAYLAKE","Hay_Lake","HAYLAKE","10.21233/n38k71","LegacyPollen 1.0",982,1013,"Hay Lake",34,-109.43,2780,"Western North America","Lake","Raw",46,"AWI",7,19,48502,1077.4,48483,"Lake on basaltic bedrock. Physiography: White Mountains. Surrounding vegetation: Pinus-Pseudotsuga-Abies-Juniperus.","1980-10-31 00:00:00","Jacobs, B.F., 1983. Past vegetation and climate of the Mogollon Rim Area, Arizona. Doctoral dissertation. University of Arizona, Tucson, Arizona, USA.",NA,"Jacobs, B.F., 1985. A middle Wisconsin pollen record from Hay Lake, Arizona. Quaternary Research, 24(1), pp.121-130.","https://doi.org/10.1016/0033-5894(85)90088-2","ACER project members; Sanchez Goñi, Maria Fernanda; Desprat, Stéphanie; Daniau, Anne-Laure; Jacobs, Bonnie Fine (2017): CLAM age model and pollen profile of sediment core Hay_Lake. PANGAEA","https://doi.org/10.1594/PANGAEA.872866","Sánchez Goñi, M.F., Desprat, S., Daniau, A.L., Bassinot, F.C., Polanco-Martínez, J.M., Harrison, S.P., Allen, J.R., Anderson, R.S., Behling, H., Bonnefille, R. and Burjachs, F., 2017. The ACER pollen and charcoal database: a global resource to document vegetation and fire response to abrupt climate changes during the last glacial period. Earth System Science Data, 9(2), pp.679-695.","https://doi.org/10.5194/essd-9-679-2017",NA,NA,NA,NA,NA,NA,NA,NA
"HEADWATR","HEADWATR","HEADWATR","10.21233/n3fd87","LegacyPollen 1.0",992,1024,"Headwaters Lake",67.93333,-155.05,820,"Western North America","Lake","Raw",30,"AWI",3,-69,13651,473.1,13720,"Kettle lake. Physiography: mountainous. Surrounding vegetation: birch shrub tundra.","1978-08-01 00:00:00","Brubaker, L.B., Garfinkee, H.L. and Edwards, M.E., 1983. A late Wisconsin and Holocene vegetation history from the central Brooks Range: implications for Alaskan palaeoecology. Quaternary Research, 20(2), pp.194-214.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEBRON_neotoma","HEBRON_neotoma","HEBRON","10.21233/n35x4d","LegacyPollen 1.0",996,1028,"Hebron Lake",58.2,-63.0333,170,"Eastern North America","Lake","Raw",17,"AWI",3,-64,8990,565.9,9054,"Small lake near Torngat mountains. Physiography: bedrock controlled plateaus. Surrounding vegetation: shrub tundra.",NA,"Lamb, H.F., 1984. Modern pollen spectra from Labrador and their use in reconstructing Holocene vegetational history. Journal of Ecology, 72(1), pp.37-59.","https://doi.org/10.2307/2260005","Lamb, H.F., 1982. Late Quaternary vegetational history of the forest-tundra ecotone in North-Central Labrador. Doctoral dissertation. University of Cambridge, Cambridge, England.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEDRICK","HEDRICK","HEDRICK","10.21233/n3bd08","LegacyPollen 1.0",997,1030,"Hedrick Pond",43.75,-110.6,2073,"Western North America","Lake","Raw",75,"AWI",5,-59,20882,283,20941,"Kettle lake. Physiography: stagnation moraine, Hedrick Pond Advance. Surrounding vegetation: open forest, Pinus contorta, Pseudotsuga.","1986-08-01 00:00:00","Steventon, R.L. and Kutzbach, J.E., 1988. University of Wisconsin radiocarbon dates XXV. Radiocarbon, 30(3), pp.367-383.","https://doi.org/10.1017/S0033822200044416","Whitlock, C., 1993. Postglacial vegetation and climate of Grand Teton and southern Yellowstone National Parks. Ecological Monographs, 63(2), pp.173-198.","https://doi.org/10.2307/2937179","Whitlock, C. and Bartlein, P.J., 1993. Spatial variations of Holocene climatic change in the Yellowstone region. Quaternary Research, 39(2), pp.231-238.","https://doi.org/10.1006/qres.1993.1026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HEN","HEN","HEN","10.21233/n3j71s","LegacyPollen 1.0",1000,1033,"Tourbière de Lanoraie HENRI",45.98889,-73.3,18,"Eastern North America","Peat","Raw",26,"AWI",6,227,7303,283,7076,"Ombrotrophic bog, ericaceous cover. Physiography: dissected deltaic plain. Surrounding vegetation: Caryo - Aceretum sacchari.","1978-01-01 00:00:00","Comtois, P.G., 1979. Histoire holocene du climat et de la vegetation a Lanoraie. Master's thesis. Universite de Montreal, Quebec, Canada (in French).",NA,"Comtois, P., 1982. Histoire holocene du climat et de la vegetation a Lanoraie (Quebec). Canadian Journal of Earth Sciences, 19(10), pp.1938-1952 (in French).","https://doi.org/10.1139/e82-172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIDDEN","HIDDEN","HIDDEN","10.21233/n3c717","LegacyPollen 1.0",1071,1104,"Hidden Lake",63.94,-144.658,343,"Western North America","Lake","Raw",33,"AWI",5,-19,19377,606.1,19396,"Morainally dammed glacial scour lake. Physiography: Kenai mountains. Surrounding vegetation: Picea/Tsuga/Betula/Populus/Alnus/Salix.",NA,"Ager, T.A., 1983. Holocene vegetational history of Alaska. In: Late-Quaternary Environments of the United States. Volume 2. The Holocene ed. by Wright Jr, H.E. (pp.128-141). University of Minnesota Press. Minneapolis, Minnesota, USA.",NA,"Ager, T.A. and Sims, J.D., 1984. Postglacial pollen and tephra records from lakes in the Cook Inlet region, southern Alaska. In: The United States Geological Survey in Alaska: Accomplishments During 1981 ed. by W.L. Conrad and R.L. Elliot (pp.103-105). U.S. Geological Survey Circular 868.",NA,"Ager, T.A. and Brubaker, L.B., 1985. Quaternary palynology and vegetational history of Alaska. In: Pollen records of late Quaternary North American sediments ed. by V.M. Bryant, Jr. and R.G. Holloway (pp.353-384). American Association of Stragigraphic Palynologists Foundation, Dallas, Texas, USA.",NA,"Rymer, M.J. and Sims, J.D., 1982. Lake-sediment evidence for the date of deglaciation of the Hidden Lake area, Kenai Peninsula, Alaska. Geology, 10(6), pp.314-316.","https://doi.org/10.1130/0091-7613(1982)10<314:LEFTDO>2.0.CO;2",NA,NA,NA,NA,NA,NA,NA,NA
"HIGHLAKE","HIGHLAKE","HIGHLAKE","10.21233/n37d9r","LegacyPollen 1.0",1072,1105,"High Lake",44.51667,-76.6,192,"Eastern North America","Lake","Raw",191,"AWI",9,-67,13837,73.2,13904,"Closed lake in bedrock basin. Physiography: rough relief in Algonquin Highlands. Surrounding vegetation: Pinus/Picea/Tsuga/Abies/Acer/Quercus.",NA,"Fuller, J.L., 1995. Holocene forest dynamics in Southern Ontario, Canada. Doctoral dissertation. University of Cambridge, Cambridge, U.K.",NA,"Fuller, J.L., 1997. Holocene forest dynamics in southern Ontario, Canada: fine-resolution pollen data. Canadian Journal of Botany, 75(10), pp.1714-1727.","https://doi.org/10.1139/b97-886","Fuller, J.L., 1998. Ecological impact of the mid-Holocene hemlock decline in southern Ontario, Canada. Ecology, 79(7), pp.2337-2351.","https://doi.org/10.1890/0012-9658(1998)079[2337:EIOTMH]2.0.CO;2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HONEYMOO","HONEYMOO","HONEYMOO","10.21233/n33q7v","LegacyPollen 1.0",1074,1107,"Honeymoon Pond",64.63333,-138.4,1160,"Western North America","Lake","Raw",71,"AWI",19,-25,10791,154.5,10816,"Just inside terminal moraines. Physiography: Southern Ogilvie Ranges. Surrounding vegetation: shrub tundra, isolated Picea groves.",NA,"Cwynar, L.C. and Spear, R.W., 1991. Reversion of forest to tundra in the central Yukon. Ecology, 72(1), pp.202-212.","https://doi.org/10.2307/1938915",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOSTAGE","HOSTAGE","HOSTAGE","10.21233/n34c9g","LegacyPollen 1.0",1078,1111,"Hostage Lake",46.55,-94.1333,368,"Eastern North America","Lake","Raw",13,"AWI",3,-26,4675,391.8,4701,"Kettle lake in pitted outwash plain. Physiography: Crow Wing Outwash Plain. Surrounding vegetation: Pinus banksiana forest.","1981-03-07 00:00:00","Almendinger, J.C., 1992. The late Holocene history of prairie, brush-prairie, and jack pine (Pinus banksiana) forest on outwash plains, north-central Minnesota, USA. The Holocene, 2(1), pp.37-50.","https://doi.org/10.1177/095968369200200105","Almendinger, J.C., 1985. The late-Holocene development of jack pine forests on outwash plains, north-central Minnesota. Doctoral dissertation. University of Minnesota, Minneapolis, Minnesota, USA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOWES","HOWES","HOWES","10.21233/n3b729","LegacyPollen 1.0",1081,1114,"Howes Prairie Marsh",41.65,-87.0722,185,"Eastern North America","Peat","Raw",20,"AWI",4,-21,4022,212.8,4043,"Interdunal depression (panne). Physiography: coastal dunes. Surrounding vegetation: oak-hickory forest, prairie.",NA,"Cole, K.L. and Taylor, R.S., 1995. Past and current trends of change in a dune prairie/oak savanna reconstructed through a multiple-scale history. Journal of Vegetation Science, 6(3), pp.399-410.","https://doi.org/10.2307/3236239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
